date,open,high,low,close,volume
2020-01-02,100,101.0052,99.6729,100.6759,580600
2020-01-03,100.6759,100.9419,100.5938,100.8597,155634
2020-01-06,100.8597,101.301,99.5626,100.0002,875084
2020-01-07,100.0002,100.2804,99.1819,99.4606,532038
2020-01-08,99.4606,99.9637,99.2997,99.8022,387498
2020-01-09,99.8022,100.6431,97.3266,98.1536,1782752
2020-01-10,98.1536,98.9525,95.8011,96.5873,1830088
2020-01-13,96.5873,99.8249,95.5301,98.7441,2248791
2020-01-14,98.7441,99.2895,97.1386,97.6782,1046682
2020-01-15,97.6782,101.4947,96.4339,100.2181,2283599
2020-01-16,100.2181,100.3297,99.903,100.0144,209656
2020-01-17,100.0144,100.299,99.1831,99.4661,664245
2020-01-20,99.4661,100.2059,99.2267,99.9653,575069
2020-01-21,99.9653,101.1643,99.5743,100.77,825621
2020-01-22,100.77,101.2055,100.6317,101.0667,302963
2020-01-23,101.0667,107.3153,99.0456,105.2113,4048245
2020-01-24,105.2113,106.6078,104.7553,106.1478,854118
2020-01-27,106.1478,106.8272,104.1468,104.8178,1012919
2020-01-28,104.8178,106.0341,101.2445,102.4331,2011265
2020-01-29,102.4331,104.0375,101.9086,103.5075,919200
2020-01-30,103.5075,104.6133,100.2561,101.3388,2326892
2020-01-31,101.3388,101.7284,100.1952,100.5819,884262
2020-02-03,100.5819,103.7903,99.5338,102.72,2200281
2020-02-04,102.72,103.2006,101.3067,101.7829,888029
2020-02-05,101.7829,105.0703,100.7092,103.9734,1863139
2020-02-06,103.9734,106.8145,103.0445,105.8686,1600908
2020-02-07,105.8686,106.2362,105.7531,106.1204,255360
2020-02-10,106.1204,107.2196,105.7625,106.8592,775025
2020-02-11,106.8592,111.1129,105.4727,109.6897,2415009
2020-02-12,109.6897,112.2991,108.8361,111.4319,1399407
2020-02-13,111.4319,113.0305,110.9096,112.5032,913396
2020-02-14,112.5032,113.3137,110.116,110.9152,1189601
2020-02-17,110.9152,112.1176,110.5234,111.723,782340
2020-02-18,111.723,112.843,108.4283,109.5264,1826710
2020-02-19,109.5264,109.9796,108.1951,108.6447,752911
2020-02-20,108.6447,108.7258,108.4225,108.5036,123871
2020-02-21,108.5036,108.7581,107.7632,108.0166,412561
2020-02-24,108.0166,108.0752,108.004,108.0626,27394
2020-02-25,108.0626,111.323,106.9971,110.2361,1806379
2020-02-26,110.2361,112.8321,109.3868,111.9695,1796879
2020-02-27,111.9695,112.5645,110.2182,110.8071,1227913
2020-02-28,110.8071,114.0452,109.7486,112.9662,1868460
2020-03-02,112.9662,113.5897,111.1307,111.7475,993608
2020-03-03,111.7475,112.3624,109.9378,110.546,1296305
2020-03-04,110.546,111.2748,108.3998,109.1191,1237848
2020-03-05,109.1191,109.3559,108.4317,108.6675,451791
2020-03-06,108.6675,110.8466,107.9546,110.1241,1167395
2020-03-09,110.1241,111.2611,109.7539,110.8884,722652
2020-03-10,110.8884,110.9235,110.8046,110.8397,61473
2020-03-11,110.8397,113.762,109.8839,112.7895,1641311
2020-03-12,112.7895,115.5873,111.8743,114.6569,1666877
2020-03-13,114.6569,115.8794,111.0627,112.2596,2245257
2020-03-16,112.2596,113.2894,111.925,112.9527,676929
2020-03-17,112.9527,113.9206,112.6385,113.6047,623943
2020-03-18,113.6047,114.2865,111.5969,112.2708,1198447
2020-03-19,112.2708,112.856,110.5488,111.128,1136444
2020-03-20,111.128,111.7358,110.9331,111.5401,291923
2020-03-23,111.5401,112.1991,109.6,110.2514,1202586
2020-03-24,110.2514,110.4631,109.6389,109.8499,354245
2020-03-25,109.8499,112.5601,108.9633,111.659,1694773
2020-03-26,111.659,111.8532,111.6015,111.7956,134887
2020-03-27,111.7956,112.2764,110.3829,110.8596,735842
2020-03-30,110.8596,113.1563,110.1082,112.3945,1171653
2020-03-31,112.3945,114.4178,111.7326,113.748,1290944
2020-04-01,113.748,117.2195,112.6136,116.062,1764521
2020-04-02,116.062,116.2866,115.4124,115.6361,387548
2020-04-03,115.6361,115.9619,114.6846,115.0086,624463
2020-04-06,115.0086,115.3327,114.0622,114.3845,639154
2020-04-07,114.3845,114.816,113.1182,113.5466,644049
2020-04-08,113.5466,113.9692,113.4132,113.8355,240876
2020-04-09,113.8355,115.0794,110.1792,111.3964,2147257
2020-04-10,111.3964,111.5286,111.0217,111.1536,233891
2020-04-13,111.1536,111.8098,109.2216,109.8702,1202876
2020-04-14,109.8702,111.6405,109.2914,111.0554,1106697
2020-04-15,111.0554,117.5503,108.952,115.3653,3627116
2020-04-16,115.3653,115.5497,115.3113,115.4957,89229
2020-04-17,115.4957,115.8872,114.3485,114.7374,644227
2020-04-20,114.7374,116.0882,114.2969,115.6442,678158
2020-04-21,115.6442,116.6124,112.7938,113.7461,1690410
2020-04-22,113.7461,115.248,109.34,110.8031,2806629
2020-04-23,110.8031,111.7917,110.482,111.4686,492049
2020-04-24,111.4686,111.5909,111.1238,111.2459,236778
2020-04-27,111.2459,115.7254,109.786,114.2264,2946240
2020-04-28,114.2264,115.5162,113.8059,115.0926,859693
2020-04-29,115.0926,115.6472,113.4613,114.0107,1048606
2020-04-30,114.0107,114.4886,112.6069,113.0809,677605
2020-05-01,113.0809,114.0023,110.3676,111.2744,1406544
2020-05-04,111.2744,115.0839,110.0307,113.8119,2267507
2020-05-05,113.8119,113.8401,113.7491,113.7774,32174
2020-05-06,113.7774,114.2952,112.2551,112.7683,751985
2020-05-07,112.7683,112.9561,112.713,112.9008,105380
2020-05-08,112.9008,114.2075,112.4747,113.7781,638507
2020-05-11,113.7781,115.0168,113.3746,114.6103,819398
2020-05-12,114.6103,115.0615,113.2854,113.7332,717035
2020-05-13,113.7332,115.5048,108.5486,110.2661,2814252
2020-05-14,110.2661,115.0647,108.7038,113.4572,3323846
2020-05-15,113.4572,113.6217,112.9865,113.1506,237811
2020-05-18,113.1506,116.3431,112.1068,115.2797,1762469
2020-05-19,115.2797,115.6524,114.1886,114.5589,592872
2020-05-20,114.5589,116.5241,113.9162,115.874,926325
2020-05-21,115.874,116.3246,114.5515,114.9987,779748
2020-05-22,114.9987,117.35,114.2294,116.5702,1553852
2020-05-25,116.5702,117.7382,113.1345,114.2795,1984337
2020-05-26,114.2795,114.4727,114.2225,114.4157,110514
2020-05-27,114.4157,114.5203,114.3882,114.4928,61162
2020-05-28,114.4928,116.0571,109.9058,111.4282,2616169
2020-05-29,111.4282,114.2457,110.5066,113.3086,1477818
2020-06-01,113.3086,113.855,113.1341,113.68,292718
2020-06-02,113.68,113.6982,113.6762,113.6944,9981
2020-06-03,113.6944,117.2506,112.5325,116.0645,2194068
2020-06-04,116.0645,119.0868,115.076,118.0811,2057229
2020-06-05,118.0811,119.8851,112.8,114.55,2809640
2020-06-08,114.55,119.3803,112.9768,117.7629,2337789
2020-06-09,117.7629,118.1422,117.6443,118.0233,217572
2020-06-10,118.0233,121.1012,117.0166,120.077,1686324
2020-06-11,120.077,121.698,119.5477,121.1639,764553
2020-06-12,121.1639,121.2095,121.1565,121.2021,24839
2020-06-15,121.2021,122.1156,118.5118,119.4118,1589120
2020-06-16,119.4118,121.7236,118.6555,120.9575,1306841
2020-06-17,120.9575,122.5599,116.2567,117.8175,2800510
2020-06-18,117.8175,119.0236,114.2705,115.4523,1672199
2020-06-19,115.4523,115.9628,115.2899,115.7999,272091
2020-06-22,115.7999,117.1761,115.3511,116.7237,639723
2020-06-23,116.7237,123.4261,114.5522,121.1719,3329325
2020-06-24,121.1719,121.7932,119.3437,119.9588,917065
2020-06-25,119.9588,119.9705,119.947,119.9587,10084
2020-06-26,119.9587,120.1831,119.31,119.5337,307726
2020-06-29,119.5337,122.1637,118.6732,121.2906,1346182
2020-06-30,121.2906,122.7878,116.8947,118.3557,2860354
2020-07-01,118.3557,119.2474,118.067,118.9573,520255
2020-07-02,118.9573,119.3666,117.7578,118.1644,638041
2020-07-03,118.1644,119.162,115.2272,116.2083,1690487
2020-07-06,116.2083,118.1638,115.5689,117.5171,971777
2020-07-07,117.5171,118.6822,114.0898,115.2322,2157571
2020-07-08,115.2322,121.6796,113.1422,119.512,3132401
2020-07-09,119.512,119.9451,118.2417,118.6718,847421
2020-07-10,118.6718,119.8415,115.2306,116.3777,2234943
2020-07-13,116.3777,118.0595,115.8282,117.5047,867696
2020-07-14,117.5047,118.3508,117.2311,118.0759,433226
2020-07-15,118.0759,122.4145,116.6605,120.9644,2163398
2020-07-16,120.9644,124.4534,119.8239,123.291,2201618
2020-07-17,123.291,123.438,123.2499,123.3969,74491
2020-07-20,123.3969,127.1611,122.1668,125.906,2220928
2020-07-21,125.906,127.5726,121.017,122.6404,2850900
2020-07-22,122.6404,123.086,122.5,122.9452,277329
2020-07-23,122.9452,123.6699,120.8116,121.5279,1362109
2020-07-24,121.5279,125.9488,120.0855,124.4714,2513609
2020-07-27,124.4714,126.7901,123.7129,126.0221,1041226
2020-07-28,126.0221,126.7891,125.7753,126.5412,332736
2020-07-29,126.5412,126.9175,125.4412,125.8153,580982
2020-07-30,125.8153,126.0654,125.7401,125.9901,104438
2020-07-31,125.9901,126.697,123.9091,124.6083,1266807
2020-08-03,124.6083,128.6585,123.2854,127.307,2291961
2020-08-04,127.307,130.4879,126.2665,129.4301,1856497
2020-08-05,129.4301,130.3088,126.8423,127.7093,1603366
2020-08-06,127.7093,130.3954,119.8963,122.4723,4831613
2020-08-07,122.4723,124.9162,121.6727,124.106,1493153
2020-08-10,124.106,126.6753,123.2653,125.823,1486823
2020-08-11,125.823,129.3374,124.674,128.167,2039801
2020-08-12,128.167,131.669,127.0219,130.5031,1645401
2020-08-13,130.5031,130.5269,130.5017,130.5255,11556
2020-08-14,130.5255,130.8235,129.6593,129.956,378833
2020-08-17,129.956,131.0905,129.5877,130.72,520580
2020-08-18,130.72,134.0149,129.6423,132.919,1737878
2020-08-19,132.919,138.531,131.0912,136.6519,3100443
2020-08-20,136.6519,138.2184,132.0489,133.5802,2257502
2020-08-21,133.5802,134.5511,130.7209,131.678,1232387
2020-08-24,131.678,134.9399,130.611,133.8552,1645388
2020-08-25,133.8552,134.6907,131.3951,132.2203,1019582
2020-08-26,132.2203,132.9101,131.9994,132.6885,354438
2020-08-27,132.6885,133.7367,132.3488,133.3953,501984
2020-08-28,133.3953,135.5758,132.6823,134.855,906002
2020-08-31,134.855,138.3653,133.707,137.1973,1516530
2020-09-01,137.1973,137.4251,137.1303,137.358,98794
2020-09-02,137.358,137.6206,136.5986,136.8603,402982
2020-09-03,136.8603,138.759,131.2935,133.1407,2881403
2020-09-04,133.1407,138.5489,131.3784,136.7389,2181352
2020-09-07,136.7389,136.9285,136.1976,136.3867,249608
2020-09-08,136.3867,137.9887,131.6804,133.2456,2081496
2020-09-09,133.2456,133.9246,131.2477,131.92,943458
2020-09-10,131.92,133.1042,128.4343,129.5977,2062148
2020-09-11,129.5977,130.5231,129.2986,130.2226,538735
2020-09-14,130.2226,130.6828,128.8732,129.3303,723954
2020-09-15,129.3303,131.7848,128.5273,130.9716,1311618
